bill_id,issue_date,period_from,period_to,customer_id,contract_id,account_id,supply_number,meter_id,tariff_code,total_amount
BILL-0001-01,2024-03-07,2024-01-01,2024-02-28,CUST-0001,CONTR-582798,ACC-434626,68242743618,M57516311,ΔΕΗ myHome Online,191.2
BILL-0001-02,2024-05-07,2024-03-01,2024-04-30,CUST-0001,CONTR-582798,ACC-434626,68242743618,M57516311,ΔΕΗ myHome Online,150.12
BILL-0001-03,2024-07-07,2024-05-01,2024-06-30,CUST-0001,CONTR-582798,ACC-434626,68242743618,M57516311,ΔΕΗ myHome Online,174.8
BILL-0001-04,2024-09-08,2024-07-01,2024-08-31,CUST-0001,CONTR-582798,ACC-434626,68242743618,M57516311,ΔΕΗ myHome Online,271.4
BILL-0001-05,2024-11-09,2024-09-01,2024-10-31,CUST-0001,CONTR-582798,ACC-434626,68242743618,M57516311,ΔΕΗ myHome Online,158.4
BILL-0001-06,2025-01-11,2024-11-01,2024-12-31,CUST-0001,CONTR-582798,ACC-434626,68242743618,M57516311,ΔΕΗ myHome Online,201
BILL-0002-01,2024-03-05,2024-01-01,2024-02-28,CUST-0002,CONTR-342412,ACC-833567,68612504585,M07197791,Ήρων Οικιακό Plus,173.67
BILL-0002-02,2024-05-08,2024-03-01,2024-04-30,CUST-0002,CONTR-342412,ACC-833567,68612504585,M07197791,Ήρων Οικιακό Plus,147.42
BILL-0002-03,2024-07-09,2024-05-01,2024-06-30,CUST-0002,CONTR-342412,ACC-833567,68612504585,M07197791,Ήρων Οικιακό Plus,136
BILL-0002-04,2024-09-06,2024-07-01,2024-08-31,CUST-0002,CONTR-342412,ACC-833567,68612504585,M07197791,Ήρων Οικιακό Plus,150.36
BILL-0002-05,2024-11-08,2024-09-01,2024-10-31,CUST-0002,CONTR-342412,ACC-833567,68612504585,M07197791,Ήρων Οικιακό Plus,154.36
BILL-0002-06,2025-01-07,2024-11-01,2024-12-31,CUST-0002,CONTR-342412,ACC-833567,68612504585,M07197791,Ήρων Οικιακό Plus,185.68
BILL-0003-01,2024-03-09,2024-01-01,2024-02-28,CUST-0003,CONTR-176201,ACC-670069,68613345947,M59605711,Ήρων Οικιακό,168.2
BILL-0003-02,2024-05-08,2024-03-01,2024-04-30,CUST-0003,CONTR-176201,ACC-670069,68613345947,M59605711,Ήρων Οικιακό,115.84
BILL-0003-03,2024-07-11,2024-05-01,2024-06-30,CUST-0003,CONTR-176201,ACC-670069,68613345947,M59605711,Ήρων Οικιακό,176.46
BILL-0003-04,2024-09-08,2024-07-01,2024-08-31,CUST-0003,CONTR-176201,ACC-670069,68613345947,M59605711,Ήρων Οικιακό,225.42
BILL-0003-05,2024-11-06,2024-09-01,2024-10-31,CUST-0003,CONTR-176201,ACC-670069,68613345947,M59605711,Ήρων Οικιακό,215.25
BILL-0003-06,2025-01-10,2024-11-01,2024-12-31,CUST-0003,CONTR-176201,ACC-670069,68613345947,M59605711,Ήρων Οικιακό,174.61
BILL-0004-01,2024-03-08,2024-01-01,2024-02-28,CUST-0004,CONTR-812718,ACC-696283,68747009919,M65850374,Elpedison Home Plus,72
BILL-0004-02,2024-05-09,2024-03-01,2024-04-30,CUST-0004,CONTR-812718,ACC-696283,68747009919,M65850374,Elpedison Home Plus,63.84
BILL-0004-03,2024-07-09,2024-05-01,2024-06-30,CUST-0004,CONTR-812718,ACC-696283,68747009919,M65850374,Elpedison Home Plus,89.1
BILL-0004-04,2024-09-10,2024-07-01,2024-08-31,CUST-0004,CONTR-812718,ACC-696283,68747009919,M65850374,Elpedison Home Plus,123.2
BILL-0004-05,2024-11-11,2024-09-01,2024-10-31,CUST-0004,CONTR-812718,ACC-696283,68747009919,M65850374,Elpedison Home Plus,88.91
BILL-0004-06,2025-01-06,2024-11-01,2024-12-31,CUST-0004,CONTR-812718,ACC-696283,68747009919,M65850374,Elpedison Home Plus,65.76
BILL-0005-01,2024-03-10,2024-01-01,2024-02-28,CUST-0005,CONTR-908862,ACC-885294,68517581950,M06153577,Protergia Home,123.93
BILL-0005-02,2024-05-11,2024-03-01,2024-04-30,CUST-0005,CONTR-908862,ACC-885294,68517581950,M06153577,Protergia Home,143.22
BILL-0005-03,2024-07-05,2024-05-01,2024-06-30,CUST-0005,CONTR-908862,ACC-885294,68517581950,M06153577,Protergia Home,147.4
BILL-0005-04,2024-09-08,2024-07-01,2024-08-31,CUST-0005,CONTR-908862,ACC-885294,68517581950,M06153577,Protergia Home,156.15
BILL-0005-05,2024-11-09,2024-09-01,2024-10-31,CUST-0005,CONTR-908862,ACC-885294,68517581950,M06153577,Protergia Home,177.87
BILL-0005-06,2025-01-10,2024-11-01,2024-12-31,CUST-0005,CONTR-908862,ACC-885294,68517581950,M06153577,Protergia Home,111.84
BILL-0006-01,2024-03-09,2024-01-01,2024-02-28,CUST-0006,CONTR-890066,ACC-993156,68118445936,M33078069,NRG Οικιακό,78.76
BILL-0006-02,2024-05-09,2024-03-01,2024-04-30,CUST-0006,CONTR-890066,ACC-993156,68118445936,M33078069,NRG Οικιακό,65.7
BILL-0006-03,2024-07-06,2024-05-01,2024-06-30,CUST-0006,CONTR-890066,ACC-993156,68118445936,M33078069,NRG Οικιακό,83
BILL-0006-04,2024-09-09,2024-07-01,2024-08-31,CUST-0006,CONTR-890066,ACC-993156,68118445936,M33078069,NRG Οικιακό,105.57
BILL-0006-05,2024-11-06,2024-09-01,2024-10-31,CUST-0006,CONTR-890066,ACC-993156,68118445936,M33078069,NRG Οικιακό,74.88
BILL-0006-06,2025-01-08,2024-11-01,2024-12-31,CUST-0006,CONTR-890066,ACC-993156,68118445936,M33078069,NRG Οικιακό,91.35
BILL-0007-01,2024-03-05,2024-01-01,2024-02-28,CUST-0007,CONTR-484164,ACC-262184,68283329922,M33743845,Protergia Home Plus,69.44
BILL-0007-02,2024-05-10,2024-03-01,2024-04-30,CUST-0007,CONTR-484164,ACC-262184,68283329922,M33743845,Protergia Home Plus,70.87
BILL-0007-03,2024-07-11,2024-05-01,2024-06-30,CUST-0007,CONTR-484164,ACC-262184,68283329922,M33743845,Protergia Home Plus,89.87
BILL-0007-04,2024-09-05,2024-07-01,2024-08-31,CUST-0007,CONTR-484164,ACC-262184,68283329922,M33743845,Protergia Home Plus,109.8
BILL-0007-05,2024-11-09,2024-09-01,2024-10-31,CUST-0007,CONTR-484164,ACC-262184,68283329922,M33743845,Protergia Home Plus,83.81
BILL-0007-06,2025-01-05,2024-11-01,2024-12-31,CUST-0007,CONTR-484164,ACC-262184,68283329922,M33743845,Protergia Home Plus,64.35
BILL-0008-01,2024-03-07,2024-01-01,2024-02-28,CUST-0008,CONTR-489380,ACC-575955,68772034573,M07315957,Protergia Home Plus,86.24
BILL-0008-02,2024-05-06,2024-03-01,2024-04-30,CUST-0008,CONTR-489380,ACC-575955,68772034573,M07315957,Protergia Home Plus,75.4
BILL-0008-03,2024-07-05,2024-05-01,2024-06-30,CUST-0008,CONTR-489380,ACC-575955,68772034573,M07315957,Protergia Home Plus,64.8
BILL-0008-04,2024-09-11,2024-07-01,2024-08-31,CUST-0008,CONTR-489380,ACC-575955,68772034573,M07315957,Protergia Home Plus,129.99
BILL-0008-05,2024-11-09,2024-09-01,2024-10-31,CUST-0008,CONTR-489380,ACC-575955,68772034573,M07315957,Protergia Home Plus,76
BILL-0008-06,2025-01-06,2024-11-01,2024-12-31,CUST-0008,CONTR-489380,ACC-575955,68772034573,M07315957,Protergia Home Plus,84.84
BILL-0009-01,2024-03-05,2024-01-01,2024-02-28,CUST-0009,CONTR-293835,ACC-275979,68543028216,M99440101,Zenith Οικιακό,129.2
BILL-0009-02,2024-05-05,2024-03-01,2024-04-30,CUST-0009,CONTR-293835,ACC-275979,68543028216,M99440101,Zenith Οικιακό,145.11
BILL-0009-03,2024-07-11,2024-05-01,2024-06-30,CUST-0009,CONTR-293835,ACC-275979,68543028216,M99440101,Zenith Οικιακό,110.88
BILL-0009-04,2024-09-10,2024-07-01,2024-08-31,CUST-0009,CONTR-293835,ACC-275979,68543028216,M99440101,Zenith Οικιακό,213.3
BILL-0009-05,2024-11-05,2024-09-01,2024-10-31,CUST-0009,CONTR-293835,ACC-275979,68543028216,M99440101,Zenith Οικιακό,134.4
BILL-0009-06,2025-01-11,2024-11-01,2024-12-31,CUST-0009,CONTR-293835,ACC-275979,68543028216,M99440101,Zenith Οικιακό,129.71
BILL-0010-01,2024-03-05,2024-01-01,2024-02-28,CUST-0010,CONTR-250207,ACC-498737,68618405678,M21371176,ΕΛΤΑ Ενέργεια Οικιακό,133.95
BILL-0010-02,2024-05-09,2024-03-01,2024-04-30,CUST-0010,CONTR-250207,ACC-498737,68618405678,M21371176,ΕΛΤΑ Ενέργεια Οικιακό,136.5
