line_id,bill_id,charge_type,description,quantity_kwh,unit_price,amount
1,BILL-0001-01,energy,Χρέωση Ενέργειας - Προμήθεια,674,0.1188,80.04
2,BILL-0001-01,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),674,0.0376,25.32
3,BILL-0001-01,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),674,0.0111,7.46
4,BILL-0001-01,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,674,0.0181,12.23
5,BILL-0001-01,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,674,0.0097,6.54
6,BILL-0001-01,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,674,0.0116,7.82
7,BILL-0001-01,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,4.9
8,BILL-0001-01,taxes,ΦΠΑ (6% + 24%),,,46.89
9,BILL-0001-02,energy,Χρέωση Ενέργειας - Προμήθεια,629,0.1006,63.27
10,BILL-0001-02,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),629,0.0305,19.21
11,BILL-0001-02,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),629,0.0099,6.22
12,BILL-0001-02,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,629,0.016,10.06
13,BILL-0001-02,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,629,0.008,5.05
14,BILL-0001-02,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,629,0.0092,5.77
15,BILL-0001-02,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,3.84
16,BILL-0001-02,taxes,ΦΠΑ (6% + 24%),,,36.7
17,BILL-0001-03,energy,Χρέωση Ενέργειας - Προμήθεια,865,0.0813,70.31
18,BILL-0001-03,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),865,0.027,23.39
19,BILL-0001-03,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),865,0.0078,6.71
20,BILL-0001-03,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,865,0.0134,11.63
21,BILL-0001-03,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,865,0.0074,6.37
22,BILL-0001-03,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,865,0.0083,7.18
23,BILL-0001-03,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,4.5
24,BILL-0001-03,taxes,ΦΠΑ (6% + 24%),,,44.71
25,BILL-0001-04,energy,Χρέωση Ενέργειας - Προμήθεια,1134,0.1053,119.38
26,BILL-0001-04,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),1134,0.0322,36.51
27,BILL-0001-04,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),1134,0.0098,11.13
28,BILL-0001-04,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,1134,0.0155,17.61
29,BILL-0001-04,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,1134,0.0084,9.58
30,BILL-0001-04,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,1134,0.0096,10.85
31,BILL-0001-04,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,6.71
32,BILL-0001-04,taxes,ΦΠΑ (6% + 24%),,,59.63
33,BILL-0001-05,energy,Χρέωση Ενέργειας - Προμήθεια,730,0.0886,64.67
34,BILL-0001-05,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),730,0.0271,19.81
35,BILL-0001-05,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),730,0.0089,6.48
36,BILL-0001-05,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,730,0.0141,10.31
37,BILL-0001-05,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,730,0.0079,5.74
38,BILL-0001-05,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,730,0.0084,6.15
39,BILL-0001-05,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,3.87
40,BILL-0001-05,taxes,ΦΠΑ (6% + 24%),,,41.37
41,BILL-0001-06,energy,Χρέωση Ενέργειας - Προμήθεια,835,0.1005,83.95
42,BILL-0001-06,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),835,0.0302,25.21
43,BILL-0001-06,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),835,0.0095,7.95
44,BILL-0001-06,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,835,0.0157,13.11
45,BILL-0001-06,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,835,0.0082,6.85
46,BILL-0001-06,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,835,0.0097,8.13
47,BILL-0001-06,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,5.08
48,BILL-0001-06,taxes,ΦΠΑ (6% + 24%),,,50.72
49,BILL-0002-01,energy,Χρέωση Ενέργειας - Προμήθεια,818,0.0907,74.19
50,BILL-0002-01,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),818,0.0281,23.01
51,BILL-0002-01,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),818,0.0083,6.75
52,BILL-0002-01,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,818,0.0145,11.83
53,BILL-0002-01,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,818,0.0077,6.29
54,BILL-0002-01,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,818,0.0088,7.23
55,BILL-0002-01,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,4.51
56,BILL-0002-01,taxes,ΦΠΑ (6% + 24%),,,39.86
57,BILL-0002-02,energy,Χρέωση Ενέργειας - Προμήθεια,712,0.0899,63.98
58,BILL-0002-02,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),712,0.0268,19.1
59,BILL-0002-02,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),712,0.0079,5.64
60,BILL-0002-02,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,712,0.0137,9.75
61,BILL-0002-02,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,712,0.0072,5.11
62,BILL-0002-02,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,712,0.0079,5.62
63,BILL-0002-02,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,3.61
64,BILL-0002-02,taxes,ΦΠΑ (6% + 24%),,,34.61
65,BILL-0002-03,energy,Χρέωση Ενέργειας - Προμήθεια,622,0.0942,58.59
66,BILL-0002-03,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),622,0.029,18.05
67,BILL-0002-03,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),622,0.0087,5.43
68,BILL-0002-03,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,622,0.0144,8.95
69,BILL-0002-03,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,622,0.0077,4.76
70,BILL-0002-03,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,622,0.0091,5.63
71,BILL-0002-03,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,3.55
72,BILL-0002-03,taxes,ΦΠΑ (6% + 24%),,,31.04
73,BILL-0002-04,energy,Χρέωση Ενέργειας - Προμήθεια,578,0.1047,60.54
74,BILL-0002-04,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),578,0.0335,19.39
75,BILL-0002-04,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),578,0.0101,5.86
76,BILL-0002-04,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,578,0.0172,9.96
77,BILL-0002-04,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,578,0.0092,5.34
78,BILL-0002-04,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,578,0.0099,5.75
79,BILL-0002-04,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,3.84
80,BILL-0002-04,taxes,ΦΠΑ (6% + 24%),,,39.68
81,BILL-0002-05,energy,Χρέωση Ενέργειας - Προμήθεια,754,0.0868,65.45
82,BILL-0002-05,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),754,0.0259,19.53
83,BILL-0002-05,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),754,0.0079,5.96
84,BILL-0002-05,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,754,0.0129,9.75
85,BILL-0002-05,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,754,0.0074,5.6
86,BILL-0002-05,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,754,0.008,6.03
87,BILL-0002-05,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,3.81
88,BILL-0002-05,taxes,ΦΠΑ (6% + 24%),,,38.23
89,BILL-0002-06,energy,Χρέωση Ενέργειας - Προμήθεια,952,0.0824,78.49
90,BILL-0002-06,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),952,0.0265,25.26
91,BILL-0002-06,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),952,0.0077,7.29
92,BILL-0002-06,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,952,0.0125,11.88
93,BILL-0002-06,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,952,0.007,6.67
94,BILL-0002-06,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,952,0.0081,7.69
95,BILL-0002-06,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,4.47
96,BILL-0002-06,taxes,ΦΠΑ (6% + 24%),,,43.93
97,BILL-0003-01,energy,Χρέωση Ενέργειας - Προμήθεια,675,0.1091,73.65
98,BILL-0003-01,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),675,0.0312,21.05
99,BILL-0003-01,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),675,0.0095,6.43
100,BILL-0003-01,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,675,0.0166,11.2
101,BILL-0003-01,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,675,0.0084,5.66
102,BILL-0003-01,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,675,0.0096,6.46
103,BILL-0003-01,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,4.22
104,BILL-0003-01,taxes,ΦΠΑ (6% + 24%),,,39.53
105,BILL-0003-02,energy,Χρέωση Ενέργειας - Προμήθεια,630,0.0804,50.65
106,BILL-0003-02,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),630,0.023,14.46
107,BILL-0003-02,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),630,0.0075,4.72
108,BILL-0003-02,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,630,0.0123,7.74
109,BILL-0003-02,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,630,0.0061,3.87
110,BILL-0003-02,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,630,0.0072,4.52
111,BILL-0003-02,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,2.84
112,BILL-0003-02,taxes,ΦΠΑ (6% + 24%),,,27.04
113,BILL-0003-03,energy,Χρέωση Ενέργειας - Προμήθεια,904,0.0829,74.9
114,BILL-0003-03,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),904,0.0242,21.84
115,BILL-0003-03,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),904,0.0078,7.08
